city,place_name,label_1번 (고즈넉/사색)_ratio,label_2번 (레트로/빈티지)_ratio,label_3번 (청량/애니메이션)_ratio,label_4번 (아기자기/소박)_ratio,place
가고시마,COMMON COFFEE COUNTER,14.3,40.3,16.9,28.6,카페
가고시마,Coffee Izumi Tenmonkan,25,5,20,50,카페
가고시마,Mateno Coffee,16.1,21.4,16.1,46.4,카페
가고시마,가고시마 성,39.4,26.6,30.9,3.2,명소
가고시마,구마소테이,6.5,47.8,37,8.7,식당
가고시마,돈카츠 쿠로다,17.8,49.2,9.3,23.7,식당
가고시마,마린 포트 가고시마,26.8,17.9,50,5.4,명소
가고시마,사이고 동굴,40.9,24.2,27.3,7.6,명소
가고시마,센간엔,33.4,29.7,29.1,7.7,명소
가고시마,센간엔 찻집,26.7,53.3,13.3,6.7,카페
가고시마,시로야마공원 전망대,46.8,7.3,37.6,8.3,명소
가고시마,아리무라 용암 전망대,23.6,14.2,56.6,5.7,명소
가고시마,아카미즈 전망광장,42.9,12.9,32.9,11.4,명소
가고시마,야키니쿠 규도 본점,14.3,64.3,7.1,14.3,식당
가고시마,유노히라 전망대,37.6,22,38.5,1.8,명소
가고시마,쿠로부타 후쿠야,17.9,39.7,24.4,17.9,식당
가고시마,텐몬칸,24.6,35.8,17.9,21.8,명소
가고시마,텐몬칸 무쟈키,25,0,75,0,카페
가고시마,흑돼지요리 주안,14.8,44.4,29.6,11.1,식당
가나자와,21세기 미술관,38.6,34.1,8.5,18.8,명소
가나자와,Cafe Restaurant Fusion 21,14.3,28.6,14.3,42.9,카페
가나자와,Sabo Issho,40.3,16.1,3.2,40.3,카페
가나자와,Uogashi Syokudo,12.5,25,0,62.5,식당
가나자와,remref,33.3,20.8,8.3,37.5,카페
가나자와,겐로쿠엔,44.6,32,16.9,6.5,명소
가나자와,데판슈보하루,27,48.6,5.4,18.9,식당
가나자와,멘야타이가,21.3,46.8,6.4,25.5,식당
가나자와,스즈키 다이세츠칸,45.1,30.5,8.5,15.9,명소
가나자와,야마상스시 본점,12.2,51.2,12.2,24.4,식당
가나자와,오야마 신사,34.5,47.6,14.3,3.6,명소
가나자와,카나자와성 공원,60,20,0,20,명소
가나자와,카이카로,27.9,31.1,8.2,32.8,카페
가나자와,코우린 스시,28.8,40.4,5.8,25,식당
가나자와,쿄쿠센엔,38.5,46.2,7.7,7.7,명소
가나자와,히가시차야가이,34.4,31.2,17.6,16.8,명소
가루이자와,Atelier de Fromage Pizzeria,37.5,18.8,12.5,31.2,식당
가루이자와,Suju Masayuki Restaurant,23.8,38.1,4.8,33.3,식당
가루이자와,Tannentei,25,25,12.5,37.5,카페
가루이자와,TsuruTonTan UDON NOODLE Brasserie,33.3,33.3,16.7,16.7,식당
가루이자와,가루이자와 레이크 가든,40,20,33.3,6.7,명소
가루이자와,가루이자와 탈리에신,33.3,29.2,16.7,20.8,명소
가루이자와,구 가루이자와 긴자 거리,24,32,12,32,명소
가루이자와,마루야마커피 하루니레테라스점,12.5,25,0,62.5,카페
가루이자와,본 오카와 가루이자와 초콜렛 팩토리,12.5,37.5,0,50,카페
가루이자와,사와무라 로스터리,25,20.8,0,54.2,카페
가루이자와,시라이토노타키 폭포,15.8,5.3,68.4,10.5,명소
가루이자와,젤라테리아 지나,3.3,50,6.7,40,카페
가루이자와,카기모토야,12.5,15,12.5,60,식당
가루이자와,카와카미안 세키레바시점,29.6,37,3.7,29.6,식당
가루이자와,카페 스즈노네,55,15,5,25,카페
가루이자와,쿠모바이케,44.6,22.9,17.8,14.6,명소
기타큐슈,CAFE DE FAN FAN,10.5,50,7,32.6,카페
기타큐슈,가쓰야마공원,37.1,19.4,16.1,27.4,명소
기타큐슈,고쿠라성,48.4,23.7,14.4,13.5,명소
기타큐슈,기타큐슈시립자연사박물관,46.8,29.8,10.6,12.8,명소
기타큐슈,리버스,21.3,29.8,13.8,35.1,카페
기타큐슈,리버워크 기타큐슈,27.4,30.6,14.5,27.4,명소
기타큐슈,모지코 레트로,26.9,48.5,10.8,13.8,명소
기타큐슈,모츠나베타슈 고쿠라점,27.1,35.6,16.9,20.3,식당
기타큐슈,사라쿠라야마 전망대,57,12.8,19.5,10.7,명소
기타큐슈,사루타히코 라멘,17.6,52,8.8,21.6,식당
기타큐슈,시로야 베이커리 고쿠라점,9.7,27.4,6.5,56.5,카페
기타큐슈,야키니쿠 아지 이치방 쇼짱,11.4,50,9.1,29.5,식당
기타큐슈,요시마루,21.9,50,15.6,12.5,식당
기타큐슈,우오마치 긴텐가이,20.9,36,10.5,32.6,명소
기타큐슈,챠챠타운 고쿠라,41.7,16.7,8.3,33.3,명소
기타큐슈,카페 마티에르,11.8,32.4,8.8,47.1,카페
기타큐슈,코가네무시,13.8,52.2,5,28.9,식당
다카마쓰,HIYORI WASANBON tea stand,21.4,21.4,0,57.1,카페
다카마쓰,JUNE COFFEE TAKAMATSU,25,25,0,50,카페
다카마쓰,Sanuki Udon Ippuku Kokubunji Main Store,25,62.5,12.5,0,식당
다카마쓰,리쓰린 공원,43,28.5,9.1,19.4,명소
다카마쓰,마루가메마치,28.5,30.2,5.2,36,명소
다카마쓰,메기지마 섬,34,30.2,32.1,3.8,명소
다카마쓰,미나미신마치 상점가,30,26.7,10,33.3,명소
다카마쓰,붓쇼잔 온천,53.7,24.2,8.7,13.4,명소
다카마쓰,사카에다 우동 본점,8.5,61,2.4,28,식당
다카마쓰,쇼도 섬,38.1,22.2,28.6,11.1,명소
다카마쓰,시코쿠무라 갤러리,36,26,23,15,명소
다카마쓰,야시마루,38.5,20.1,28.4,13,명소
다카마쓰,커피 크나우프,17.4,26.1,0,56.5,카페
다카마쓰,코라쿠 쇼쿠도,14.5,48.7,10.5,26.3,식당
다카마쓰,키쿠케츠테이,57.5,13.8,8,20.7,카페
다카마쓰,호네츠키도리 잇카쿠 타카마츠점,17.6,54.1,10.8,17.6,식당
마쓰야마,10 FACTORY 마쓰야마 본점,24.1,25.9,7.4,42.6,카페
마쓰야마,Biltmore Coffee,29.4,14.7,1.5,54.4,카페
마쓰야마,Flying Scotsman Okaido shop,19.5,31.2,7.8,41.6,카페
